240	tt0099040	An Angel at My Table	An Angel at My Table (1990)	7.6	Action,Biography,Drama
241	tt0122541	An Ideal Husband	An Ideal Husband (1999)	6.9	Action,Comedy,Romance
242	tt0047119	An Inspector Calls	An Inspector Calls (1954)	7.5	Action,Crime,Drama,Mystery
243	tt0350261	An Unfinished Life	An Unfinished Life (2005)	7	Action,Adventure,Drama
244	tt0118615	Anaconda	Anaconda (1997)	4.7	Action,Adventure,Horror,Thriller
245	tt0122933	Analyze This	Analyze This (1999)	6.7	Action,Comedy,Crime
246	tt1229340	Anchorman 2: The Legend Continues	Anchorman 2: The Legend Continues (2013)	6.3	Action,Comedy
247	tt0357413	Anchorman: The Legend of Ron Burgundy	Anchorman: The Legend of Ron Burgundy (2004)	7.2	Action,Comedy
248	tt0066765	And Now for Something Completely Different	And Now for Something Completely Different (1971)	7.6	Action,Animation,Comedy
249	tt2465146	And So It Goes	And So It Goes (2014)	5.8	Comedy,Drama,Romance
250	tt1391034	And Soon the Darkness	And Soon the Darkness (2010)	5.2	Action,Crime,Horror,Mystery,Thriller
251	tt1972819	And While We Were Here	And While We Were Here (2012)	5.8	Action,Drama
252	tt3393070	Android Cop	Android Cop (2014)	3.1	Action,Sci-Fi
253	tt0808151	Angels & Demons	Angels & Demons (2009)	6.7	Action,Mystery,Thriller
254	tt1833888	Angels Sing	Angels Sing (2013)	5.9	Action,Comedy,Drama,Family
255	tt0305224	Anger Management	Anger Management (2003)	6.2	Action,Comedy
256	tt2996684	Animal	Animal (2014)	4.8	Action,Adventure,Horror,Mystery,Thriller
257	tt0077975	Animal House	Animal House (1978)	7.6	Action,Comedy
258	tt2431576	Animus	Animus (2013)	2.9	Action,Horror,Thriller
259	tt1715336	Anna	Anna (2013)	6.5	Action,Drama,Mystery,Sci-Fi,Thriller
260	tt1781769	Anna Karenina	Anna Karenina (2012)	6.6	Action,Drama,Romance
261	tt3322940	Annabelle	Annabelle (2014)	5.4	Action,Horror,Mystery,Thriller
262	tt0064030	Anne of the Thousand Days	Anne of the Thousand Days (1969)	7.6	Action,Biography,Drama,History
263	tt0083564	Annie	Annie (1982)	6.5	Action,Comedy,Drama,Family,Musical
264	tt1823664	Annie	Annie (2014)	5.3	Action,Comedy,Drama,Family,Musical
265	tt0075686	Annie Hall	Annie Hall (1977)	8	Action,Comedy,Romance
266	tt1521197	Anonymous	Anonymous (2011)	6.9	Action,Drama,History,Thriller
267	tt1549572	Another Earth	Another Earth (2011)	7	Action,Drama,Romance,Sci-Fi
268	tt1816608	Another Me	Another Me (2013)	4.7	Action,Mystery,Thriller
269	tt2361700	Antarctica: A Year on Ice	Antarctica: A Year on Ice (2013)	7.6	Action,Adventure,Biography,Documentary,Drama
270	tt1869265	Anthem	Anthem (2011)	3.5	Action,Drama
271	tt0870984	Antichrist	Antichrist (2009)	6.6	Action,Drama,Fantasy,Horror,Thriller
272	tt2772092	Antisocial	Antisocial (2013)	4.5	Action,Horror,Sci-Fi,Thriller
273	tt2099556	Antiviral	Antiviral (2012)	5.7	Action,Horror,Sci-Fi,Thriller
274	tt2066176	Any Day Now	Any Day Now (2012)	7.5	Action,Drama,Romance
275	tt0146838	Any Given Sunday	Any Given Sunday (1999)	6.8	Action,Drama,Sport
276	tt0080377	Any Which Way You Can	Any Which Way You Can (1980)	6.1	Action,Comedy
277	tt1757742	Apartment 143	Apartment 143 (2011)	5.1	Action,Horror,Thriller
278	tt3384904	Apocalypse Pompeii	Apocalypse Pompeii (2014)	2.4	Action,Adventure
279	tt3237154	Apocalypse Cult	Apocalypse Cult (2014)	4.6	Action,Drama,Horror,Mystery
280	tt0112384	Apollo 13	Apollo 13 (1995)	7.6	Action,Adventure,Drama,History
281	tt1772240	Apollo 18	Apollo 18 (2011)	5.2	Action,Horror,Mystery,Sci-Fi,Thriller
282	tt0800308	Appaloosa	Appaloosa (2008)	6.8	Action,Crime,Drama,Romance,Western
283	tt3638012	Appleseed Alpha	Appleseed Alpha (2014)	6.6	Action,Animation,Sci-Fi
284	tt0050135	April Love	April Love (1957)	6.2	Action,Comedy,Drama,Musical
285	tt2676350	April Rain	April Rain (2014)	2.9	Action
286	tt0118636	Apt Pupil	Apt Pupil (1998)	6.7	Action,Crime,Drama,Romance,Thriller
287	tt0060121	Arabesque	Arabesque (1966)	6.6	Action,Adventure,Crime,Drama,Mystery,Romance,Thriller
288	tt0034465	Arabian Nights	Arabian Nights (1942)	6.2	Action,Adventure
289	tt0099052	Arachnophobia	Arachnophobia (1990)	6.4	Action,Comedy,Fantasy,Horror,Sci-Fi,Thriller
290	tt1764183	Arbitrage	Arbitrage (2012)	6.6	Action,Drama,Thriller
